State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,true_churn,pred_churn_prob,highrisk_model_top10,highrisk_rule,highrisk_and,highrisk_or,risk_reasons
OH,84,408,Yes,No,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0,0.8987007859538046,True,False,False,True,Top10%_Model
OK,75,415,Yes,No,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0,0.9220294308128371,True,False,False,True,Top10%_Model
WV,141,415,Yes,Yes,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,0.8492762360767528,True,False,False,True,Top10%_Model
IA,62,415,No,No,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,0,0.5465730493902243,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
CO,77,408,No,No,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,1,0.3600944317804052,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
WY,87,415,No,No,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1,0.6940942954402042,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
TX,150,510,No,No,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,1,0.8224262071628161,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
NJ,138,408,No,No,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0,0.8638320971342003,True,False,False,True,Top10%_Model
NY,144,408,No,No,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,1,0.1885742187531823,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
OR,116,415,Yes,No,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0,0.972285219268812,True,False,False,True,Top10%_Model
IN,94,408,No,No,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,1,0.43254940895148014,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
ME,78,415,No,No,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0,0.8200562427686748,True,False,False,True,Top10%_Model
AZ,99,415,No,No,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0,0.5898972502122791,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
AZ,95,408,No,No,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,0,0.6949882569432893,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
AL,98,408,No,No,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,0,0.5662702273378978,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
ME,36,510,Yes,Yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,1,0.8419431177007134,True,False,False,True,Top10%_Model
MS,162,415,No,No,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,1,0.45000183665581434,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
TX,82,408,No,No,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,0,0.8713379019196204,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
AL,91,510,Yes,No,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,0,0.8182997071074397,True,False,False,True,Top10%_Model
VT,117,408,Yes,No,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,1,0.809522634510237,True,False,False,True,Top10%_Model
UT,83,408,Yes,No,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,0,0.939265670970738,True,False,False,True,Top10%_Model
